"Id","Weekly_Sales"
"1_5_2013-01-11",21318.68
"1_5_2013-01-18",31898.63
"1_5_2013-01-25",1005
"1_5_2013-02-01",33243.85
"1_5_2013-02-08",113966.34
"1_5_2013-02-15",831.4
"1_5_2013-02-22",3114.01
"1_5_2013-03-01",6268.3
"1_5_2013-03-08",2786.48
"1_5_2013-03-15",1882.59
"1_5_2013-03-22",19776.44
"1_5_2013-03-29",9959.64
"1_5_2013-04-05",87401.82
"1_5_2013-04-12",170303.38
"1_5_2013-04-19",18932.74
"1_5_2013-04-26",1542.03
"1_5_2013-05-03",37670.13
"1_5_2013-05-10",66433.08
"1_5_2013-05-17",32427.3
"1_5_2013-05-24",2310.34
"1_5_2013-05-31",2573.12
"1_5_2013-06-07",4530.75
"1_5_2013-06-14",37255.89
"1_5_2013-06-21",797.35
"1_5_2013-06-28",3099.16
"1_5_2013-07-05",30877.51
"1_5_2013-07-12",10003.1
"1_5_2013-07-19",648.03
"1_5_2013-07-26",7124.84
"1_6_2012-11-02",5913.03
"1_6_2012-11-09",25942.35
"1_6_2012-11-16",3527.62
"1_6_2012-11-23",43050.78
"1_6_2012-11-30",37656.58
"1_6_2012-12-07",9558.5
"1_6_2012-12-14",14159.67
"1_6_2012-12-21",4355.72
"1_6_2012-12-28",5622.58
"1_6_2013-01-04",17753.95
"1_6_2013-01-11",70210.07
"1_6_2013-01-18",17803.49
"1_6_2013-01-25",985.6
"1_6_2013-02-01",45489.31
"1_6_2013-02-08",95540.57
"1_6_2013-02-15",2157.44
"1_6_2013-02-22",31002.65
"1_6_2013-03-01",56500.66
"1_6_2013-03-08",20911.25
"1_6_2013-03-15",435
"1_6_2013-03-22",1241.47
"1_6_2013-03-29",30320.41
"1_6_2013-04-05",112688.97
"1_6_2013-04-12",87401.82
"1_6_2013-04-19",58927.88
"1_6_2013-04-26",2900
"1_6_2013-05-03",30031.81
"1_6_2013-05-10",13327.82
"1_6_2013-05-17",3033
"1_6_2013-05-24",7854.17
"1_6_2013-05-31",1542.03
"1_6_2013-06-07",7107.23
"1_6_2013-06-14",10148.65
"1_6_2013-06-21",24682.22
"1_6_2013-06-28",10172.39
"1_6_2013-07-05",7939.32
"1_6_2013-07-12",28315.7
"1_6_2013-07-19",831.4
"1_6_2013-07-26",7882.59
"1_7_2012-11-02",972.87
"1_7_2012-11-09",7049.78
"1_7_2012-11-16",44259.59
"1_7_2012-11-23",3117.17
"1_7_2012-11-30",16338.81
"1_7_2012-12-07",170303.38
"1_7_2012-12-14",43
"1_7_2012-12-21",6846.36
"1_7_2012-12-28",1852.54
"1_7_2013-01-04",7816.44
"1_7_2013-01-11",1752.13
"1_7_2013-01-18",32427.3
"1_7_2013-01-25",6760.41
"1_7_2013-02-01",7324.21
"1_7_2013-02-08",18110.97
"1_7_2013-02-15",21205.01
"1_7_2013-02-22",5715.31
"1_7_2013-03-01",10721.09
"1_7_2013-03-08",985.6
"1_7_2013-03-15",33533.15
"1_7_2013-03-22",33243.85
"1_7_2013-03-29",9558.5
"1_7_2013-04-05",9186.33
"1_7_2013-04-12",4241.39
"1_7_2013-04-19",10104.36
"1_7_2013-04-26",28932.57
"1_7_2013-05-03",2635.81
"1_7_2013-05-10",1526.35
"1_7_2013-05-17",17754.36
"1_7_2013-05-24",32572.27
"1_7_2013-05-31",56500.66
"1_7_2013-06-07",2600.89
"1_7_2013-06-14",33118.33
"1_7_2013-06-21",3313.06
"1_7_2013-06-28",30877.51
"1_7_2013-07-05",59802.65
"1_7_2013-07-12",648.03
"1_7_2013-07-19",37507.93
"1_7_2013-07-26",5240.63
"1_8_2012-11-02",19731.84
"1_8_2012-11-09",5920.02
"1_8_2012-11-16",70210.07
"1_8_2012-11-23",38489.63
"1_8_2012-11-30",3139.23
"1_8_2012-12-07",2711.84
"1_8_2012-12-14",55188.08
"1_8_2012-12-21",5466.91
"1_8_2012-12-28",30543.19
"1_8_2013-01-04",48722.58
"1_8_2013-01-11",2334.96
"1_8_2013-01-18",95540.57
"1_8_2013-01-25",112688.97
"1_8_2013-02-01",10035.25
"1_8_2013-02-08",0
"1_8_2013-02-15",52715.57
"1_8_2013-02-22",11.97
"1_8_2013-03-01",31848.99
"1_8_2013-03-08",1414.06
"1_8_2013-03-15",30734.52
"1_8_2013-03-22",8443.46
"1_8_2013-03-29",3117.17
"1_8_2013-04-05",7463.46
"1_8_2013-04-12",17699.32
"1_8_2013-04-19",8978.16
"1_8_2013-04-26",29622.19
"1_8_2013-05-03",30320.41
"1_8_2013-05-10",14921.54
"1_8_2013-05-17",25293.49
"1_8_2013-05-24",9505.36
"1_8_2013-05-31",1450.52
"1_8_2013-06-07",3023.41
"1_8_2013-06-14",9686.83
"1_8_2013-06-21",45928.14
"1_8_2013-06-28",3702.52
"1_8_2013-07-05",1921.19
"1_8_2013-07-12",83931.76
"1_8_2013-07-19",6824.05
"1_8_2013-07-26",33129.25
"1_9_2012-11-02",21972.8
"1_9_2012-11-09",37340.34
"1_9_2012-11-16",10148.65
"1_9_2012-11-23",5715.31
"1_9_2012-11-30",41114.36
"1_9_2012-12-07",1992.88
"1_9_2012-12-14",14744.09
"1_9_2012-12-21",27724.56
"1_9_2012-12-28",35886.92
"1_9_2013-01-04",17754.36
"1_9_2013-01-11",59.8
"1_9_2013-01-18",9842.25
"1_9_2013-01-25",10146.54
"1_9_2013-02-01",1372.8
"1_9_2013-02-08",1710.05
"1_9_2013-02-15",3033
"1_9_2013-02-22",10484.57
"1_9_2013-03-01",83237.41
"1_9_2013-03-08",3175.44
"1_9_2013-03-15",31747.07
"1_9_2013-03-22",11802.37
"1_9_2013-03-29",165633.02
"1_9_2013-04-05",4241.39
"1_9_2013-04-12",1708.9
"1_9_2013-04-19",20061.91
"1_9_2013-04-26",7816.44
"1_9_2013-05-03",38729.31
"1_9_2013-05-10",685.52
"1_9_2013-05-17",94666.69
"1_9_2013-05-24",23852.42
"1_9_2013-05-31",61261.65
"1_9_2013-06-07",6577.25
"1_9_2013-06-14",47751.41
"1_9_2013-06-21",3732
"1_9_2013-06-28",6714.41
"1_9_2013-07-05",41782.13
"1_9_2013-07-12",2695.24
"1_9_2013-07-19",9186.33
"1_9_2013-07-26",37507.93
"1_10_2012-11-02",1852.54
"1_10_2012-11-09",3096.8
"1_10_2012-11-16",5641.46
"1_10_2012-11-23",2343.4
"1_10_2012-11-30",60494.84
"1_10_2012-12-07",49818.68
"1_10_2012-12-14",59802.65
"1_10_2012-12-21",9596.7
"1_10_2012-12-28",6824.05
"1_10_2013-01-04",1414.06
"1_10_2013-01-11",3117.17
"1_10_2013-01-18",3245.04
"1_10_2013-01-25",32907.32
"1_10_2013-02-01",14714.73
"1_10_2013-02-08",11.97
"1_10_2013-02-15",9686.83
"1_10_2013-02-22",30734.52
"1_10_2013-03-01",13979.39
"1_10_2013-03-08",52715.57
"1_10_2013-03-15",119053.8
"1_10_2013-03-22",17699.32
"1_10_2013-03-29",83931.76
"1_10_2013-04-05",3023.41
"1_10_2013-04-12",14921.54
"1_10_2013-04-19",33129.25
"1_10_2013-04-26",9505.36
"1_10_2013-05-03",9212.12
"1_10_2013-05-10",36644.98
"1_10_2013-05-17",1227.56
"1_10_2013-05-24",2044.76
"1_10_2013-05-31",29622.19
"1_10_2013-06-07",37340.34
"1_10_2013-06-14",1310
"1_10_2013-06-21",36404.7
"1_10_2013-06-28",10484.57
"1_10_2013-07-05",5024.36
"1_10_2013-07-12",19046.33
"1_10_2013-07-19",10148.65
"1_10_2013-07-26",11802.37
"1_11_2012-11-02",49818.68
"1_11_2012-11-09",9842.25
"1_11_2012-11-16",8443.46
"1_11_2012-11-23",28826.71
"1_11_2012-11-30",2523.53
"1_11_2012-12-07",24204.73
"1_11_2012-12-14",7784.82
"1_11_2012-12-21",23852.42
"1_11_2012-12-28",3175.44
"1_11_2013-01-04",94666.69
"1_11_2013-01-11",41114.36
"1_11_2013-01-18",27724.56
"1_11_2013-01-25",37149.3
"1_11_2013-02-01",33305.92
"1_11_2013-02-08",3735
"1_11_2013-02-15",2606.7
"1_11_2013-02-22",12955.55
"1_11_2013-03-01",1443.2
"1_11_2013-03-08",2496.33
"1_11_2013-03-15",2672
"1_11_2013-03-22",83237.41
"1_11_2013-03-29",59.8
"1_11_2013-04-05",165633.02
"1_11_2013-04-12",49357.43
"1_11_2013-04-19",31747.07
"1_11_2013-04-26",38489.63
"1_11_2013-05-03",8250.17
"1_11_2013-05-10",2892.04
"1_11_2013-05-17",820.59
"1_11_2013-05-24",61261.65
"1_11_2013-05-31",41782.13
"1_11_2013-06-07",6714.41
"1_11_2013-06-14",6436.15
"1_11_2013-06-21",6750.53
"1_11_2013-06-28",2343.4
"1_11_2013-07-05",47751.41
"1_11_2013-07-12",65913.64
"1_11_2013-07-19",4859.65
"1_11_2013-07-26",9266.02
"1_12_2012-11-02",60494.84
"1_12_2012-11-09",1852.54
"1_12_2012-11-16",10035.25
"1_12_2012-11-23",10855.44
"1_12_2012-11-30",37639.31
"1_12_2012-12-07",11274.48
"1_12_2012-12-14",3619.16
"1_12_2012-12-21",33303.15
"1_12_2012-12-28",18987.35
"1_12_2013-01-04",9212.12
"1_12_2013-01-11",31435.36
"1_12_2013-01-18",1749.04
"1_12_2013-01-25",35724.82
"1_12_2013-02-01",11820.17
"1_12_2013-02-08",3432.08
"1_12_2013-02-15",1310
"1_12_2013-02-22",15044.32
"1_12_2013-03-01",30033.48
"1_12_2013-03-08",4400.06
"1_12_2013-03-15",25261.76
"1_12_2013-03-22",30816.81
"1_12_2013-03-29",38226.32
"1_12_2013-04-05",36636.58
"1_12_2013-04-12",8014.5
"1_12_2013-04-19",57060.85
"1_12_2013-04-26",4927.3
"1_12_2013-05-03",31948.63
"1_12_2013-05-10",7123.1
"1_12_2013-05-17",2672
"1_12_2013-05-24",49707.56
"1_12_2013-05-31",1227.56
"1_12_2013-06-07",1372.8
"1_12_2013-06-14",9502.94
"1_12_2013-06-21",45773.03
"1_12_2013-06-28",3169.24
"1_12_2013-07-05",33643.26
"1_12_2013-07-12",36404.7
"1_12_2013-07-19",3045.08
"1_12_2013-07-26",97444.15
"1_13_2012-11-02",10083.01
"1_13_2012-11-09",17251.57
"1_13_2012-11-16",5024.36
"1_13_2012-11-23",51137.42
"1_13_2012-11-30",5815
"1_13_2012-12-07",38729.31
"1_13_2012-12-14",11859.38
"1_13_2012-12-21",6994.4
"1_13_2012-12-28",2401
"1_13_2013-01-04",28845.68
"1_13_2013-01-11",11642.24
"1_13_2013-01-18",33932.27
"1_13_2013-01-25",120721.07
"1_13_2013-02-01",67740.71
"1_13_2013-02-08",853.19
"1_13_2013-02-15",20943.81
"1_13_2013-02-22",3096.8
"1_13_2013-03-01",13180.05
"1_13_2013-03-08",9266.02
"1_13_2013-03-15",43479.7
"1_13_2013-03-22",3175.44
"1_13_2013-03-29",34196.74
"1_13_2013-04-05",4225.6
"1_13_2013-04-12",77567.96
"1_13_2013-04-19",85789.38
"1_13_2013-04-26",62424.9
"1_13_2013-05-03",74.88
"1_13_2013-05-10",8445.01
"1_13_2013-05-17",10022.4
"1_13_2013-05-24",61261.65
"1_13_2013-05-31",2237.47
"1_13_2013-06-07",173805.71
"1_13_2013-06-14",2395.98
"1_13_2013-06-21",69511.06
"1_13_2013-06-28",10228.59
"1_13_2013-07-05",1381.01
"1_13_2013-07-12",30033.48
"1_13_2013-07-19",37639.31
"1_13_2013-07-26",4009.01
"1_14_2012-11-02",10855.44
"1_14_2012-11-09",18987.35
"1_14_2012-11-16",45773.03
"1_14_2012-11-23",405.84
"1_14_2012-11-30",36636.58
"1_14_2012-12-07",7784.82
"1_14_2012-12-14",29051.72
"1_14_2012-12-21",32907.32
"1_14_2012-12-28",9502.94
"1_14_2013-01-04",1310
"1_14_2013-01-11",10083.01
"1_14_2013-01-18",11274.48
"1_14_2013-01-25",-498
"1_14_2013-02-01",33643.26
"1_14_2013-02-08",13180.05
"1_14_2013-02-15",10671.89
"1_14_2013-02-22",17251.57
"1_14_2013-03-01",3245.04
"1_14_2013-03-08",2672
"1_14_2013-03-15",27918.08
"1_14_2013-03-22",3735
"1_14_2013-03-29",8445.01
"1_14_2013-04-05",51137.42
"1_14_2013-04-12",11820.17
"1_14_2013-04-19",57060.85
"1_14_2013-04-26",14714.73
"1_14_2013-05-03",2656.78
"1_14_2013-05-10",120721.07
"1_14_2013-05-17",48035.97
"1_14_2013-05-24",5052.77
"1_14_2013-05-31",8587.31
"1_14_2013-06-07",6994.4
"1_14_2013-06-14",1293.6
"1_14_2013-06-21",38266.47
"1_14_2013-06-28",4031.65
"1_14_2013-07-05",4400.06
"1_14_2013-07-12",69511.06
"1_14_2013-07-19",3045.08
"1_14_2013-07-26",4859.65
"1_16_2012-11-02",65636.08
"1_16_2012-11-09",28845.68
"1_16_2012-11-16",32871.95
"1_16_2012-11-23",65913.64
"1_16_2012-11-30",97444.15
"1_16_2012-12-07",35724.82
"1_16_2012-12-14",4225.6
"1_16_2012-12-21",43479.7
"1_16_2012-12-28",62424.9
"1_16_2013-01-04",10022.4
"1_16_2013-01-11",173805.71
"1_16_2013-01-18",120.18
"1_16_2013-01-25",2348.56
"1_16_2013-02-01",2237.47
"1_16_2013-02-08",2654.13
"1_16_2013-02-15",11642.24
"1_16_2013-02-22",22602.34
"1_16_2013-03-01",13264.44
"1_16_2013-03-08",2395.98
"1_16_2013-03-15",20943.81
"1_16_2013-03-22",11859.38
"1_16_2013-03-29",59020.69
"1_16_2013-04-05",30434.19
"1_16_2013-04-12",37149.3
"1_16_2013-04-19",9266.02
"1_16_2013-04-26",853.19
"1_16_2013-05-03",33041.49
"1_16_2013-05-10",7123.1
"1_16_2013-05-17",85789.38
"1_16_2013-05-24",31948.63
"1_16_2013-05-31",4009.01
"1_16_2013-06-07",2631.24
"1_16_2013-06-14",7329.41
"1_16_2013-06-21",62835.69
"1_16_2013-06-28",29051.72
"1_16_2013-07-05",37707.5
"1_16_2013-07-12",11552.43
"1_16_2013-07-19",9327.8
"1_16_2013-07-26",29522.11
"1_17_2012-11-02",2656.78
"1_17_2012-11-09",23350.88
"1_17_2012-11-16",7486.65
"1_17_2012-11-23",10671.89
"1_17_2012-11-30",23757.52
"1_17_2012-12-07",116427.93
"1_17_2012-12-14",878.8
"1_17_2012-12-21",25666.34
"1_17_2012-12-28",30132.4
"1_17_2013-01-04",2348.56
"1_17_2013-01-11",405.84
"1_17_2013-01-18",3420
"1_17_2013-01-25",44481.38
"1_17_2013-02-01",400
"1_17_2013-02-08",148782.83
"1_17_2013-02-15",3865.21
"1_17_2013-02-22",7699
"1_17_2013-03-01",5941.8
"1_17_2013-03-08",1744
"1_17_2013-03-15",65636.08
"1_17_2013-03-22",10554.13
"1_17_2013-03-29",1284.8
"1_17_2013-04-05",4818.81
"1_17_2013-04-12",40925.76
"1_17_2013-04-19",4031.65
"1_17_2013-04-26",5036.62
"1_17_2013-05-03",13667.88
"1_17_2013-05-10",3545.8
"1_17_2013-05-17",49707.56
"1_17_2013-05-24",26431.67
"1_17_2013-05-31",36950.91
"1_17_2013-06-07",34981.76
"1_17_2013-06-14",6629.6
"1_17_2013-06-21",63663.51
"1_17_2013-06-28",35210.98
"1_17_2013-07-05",3903.44
"1_17_2013-07-12",25846.86
"1_17_2013-07-19",2425.04
"1_17_2013-07-26",38216.01
"1_18_2012-11-02",11945.79
"1_18_2012-11-09",6644.45
"1_18_2012-11-16",6233.78
"1_18_2012-11-23",21444.65
"1_18_2012-11-30",2882.08
"1_18_2012-12-07",1879.45
"1_18_2012-12-14",6951.19
"1_18_2012-12-21",2247.9
"1_18_2012-12-28",59732.61
"1_18_2013-01-04",91629.16
"1_18_2013-01-11",1573
"1_18_2013-01-18",10619.45
"1_18_2013-01-25",14581.39
"1_18_2013-02-01",36797
"1_18_2013-02-08",18903.84
"1_18_2013-02-15",714.86
"1_18_2013-02-22",13382.99
"1_18_2013-03-01",4914.09
"1_18_2013-03-08",27192.39
"1_18_2013-03-15",67740.71
"1_18_2013-03-22",29927.33
"1_18_2013-03-29",34196.74
"1_18_2013-04-05",120.18
"1_18_2013-04-12",78517.16
"1_18_2013-04-19",7154.5
"1_18_2013-04-26",8998.71
"1_18_2013-05-03",17203.25
"1_18_2013-05-10",34033.89
"1_18_2013-05-17",3865.21
"1_18_2013-05-24",37686
"1_18_2013-06-07",7359.16
"1_18_2013-07-05",43539.94
"1_19_2012-11-02",62645.2
"1_19_2012-11-09",13677.11
"1_19_2012-11-16",116427.93
"1_19_2012-11-23",16894.4
"1_19_2012-11-30",13822.49
"1_19_2012-12-07",11552.43
"1_19_2012-12-14",2018.5
"1_19_2012-12-21",758.08
"1_19_2012-12-28",29522.11
"1_19_2013-01-04",949.95
"1_19_2013-01-11",2572.41
"1_19_2013-01-18",34580.77
"1_19_2013-01-25",3400
"1_19_2013-02-01",293.24
"1_19_2013-02-08",4539.89
"1_19_2013-02-15",20.12
"1_19_2013-02-22",7073.77
"1_19_2013-03-01",20019.69
"1_19_2013-03-08",12377.76
"1_19_2013-03-15",24493.4
"1_19_2013-03-22",4009.01
"1_19_2013-03-29",4369.57
"1_19_2013-04-05",1466
"1_19_2013-04-12",6213.61
"1_19_2013-04-19",3665.25
"1_19_2013-04-26",48035.97
"1_19_2013-05-03",9246
"1_19_2013-05-10",950.4
"1_19_2013-05-17",7699
"1_19_2013-05-24",4174.68
"1_19_2013-05-31",37371.22
"1_19_2013-06-07",39235.39
"1_19_2013-06-14",3437.73
"1_19_2013-06-21",1291
"1_19_2013-06-28",16990.96
"1_19_2013-07-05",148782.83
"1_19_2013-07-12",1788.6
"1_19_2013-07-19",5894.86
"1_19_2013-07-26",557.94
"1_20_2012-11-02",73539.46
"1_20_2012-11-09",20705.21
"1_20_2012-11-16",26147.46
"1_20_2012-11-23",61166.26
"1_20_2012-11-30",2951.08
"1_20_2012-12-07",9454.17
"1_20_2012-12-14",11945.79
"1_20_2012-12-21",568.29
"1_20_2012-12-28",38000.25
"1_20_2013-01-04",2155.22
"1_20_2013-01-11",13382.99
"1_20_2013-01-18",68373.27
"1_20_2013-01-25",2039.49
"1_20_2013-02-01",14585.64
"1_20_2013-02-08",3959.05
"1_20_2013-02-15",7018.32
"1_20_2013-02-22",297.5
"1_20_2013-03-01",5821.95
"1_20_2013-03-08",91629.16
"1_20_2013-03-15",31338.33
"1_20_2013-03-22",23105.81
"1_20_2013-03-29",4992.77
"1_20_2013-04-05",78517.16
"1_20_2013-04-12",17716.26
"1_20_2013-04-19",37686
"1_20_2013-04-26",11552.43
"1_20_2013-05-03",7090.86
"1_20_2013-05-10",8429.49
"1_20_2013-05-17",16894.4
"1_20_2013-05-24",783.25
"1_20_2013-05-31",6384.22
"1_20_2013-06-07",43753.43
"1_20_2013-06-14",13822.49
"1_20_2013-06-21",4369.57
"1_20_2013-06-28",244.14
"1_20_2013-07-05",2210
"1_20_2013-07-12",4008.75
"1_20_2013-07-19",10189.61
"1_20_2013-07-26",4115.74
"1_21_2012-11-02",36582.36
"1_21_2012-11-09",19298.42
"1_21_2012-11-16",2460.92
"1_21_2012-11-23",116427.93
"1_21_2012-11-30",10418.11
"1_21_2012-12-07",3937.59
"1_21_2012-12-14",714.21
"1_21_2012-12-21",1988.97
"1_21_2012-12-28",35356.12
"1_21_2013-01-04",15395.96
"1_21_2013-01-11",2160.24
"1_21_2013-01-18",62645.2
"1_21_2013-01-25",5567.49
"1_21_2013-02-01",15416.12
"1_21_2013-02-08",29522.11
"1_21_2013-02-15",2425.04
"1_21_2013-02-22",24493.4
"1_21_2013-03-01",17532.05
"1_21_2013-03-08",3119.12
"1_21_2013-03-15",148782.83
"1_21_2013-03-22",37526.8
"1_21_2013-03-29",25331.83
"1_21_2013-04-05",8111.01
"1_21_2013-04-12",557.94
"1_21_2013-04-19",0
"1_21_2013-04-26",8150.14
"1_21_2013-05-03",1623.81
"1_21_2013-05-10",2572.41
"1_21_2013-05-17",31338.33
"1_21_2013-05-24",792.1
"1_21_2013-05-31",78517.16
"1_21_2013-06-07",31327.75
"1_21_2013-06-14",6213.61
"1_21_2013-06-21",12461.85
"1_21_2013-06-28",42276.55
"1_21_2013-07-05",3081.86
"1_21_2013-07-12",950.4
"1_21_2013-07-19",16758.49
"1_21_2013-07-26",2930.02
"1_22_2012-11-02",78264.14
"1_22_2012-11-09",61166.26
"1_22_2012-11-16",17716.26
"1_22_2012-11-23",11945.79
"1_22_2012-11-30",8198.59
"1_22_2012-12-07",38000.25
"1_22_2012-12-14",14311.83
"1_22_2012-12-21",91629.16
"1_22_2012-12-28",297.5
"1_22_2013-01-04",8086.43
"1_22_2013-01-11",4992.77
"1_22_2013-01-18",1466
"1_22_2013-01-25",68373.27
"1_22_2013-02-01",1700.85
"1_22_2013-02-08",2013.82
"1_22_2013-02-15",6258.08
"1_22_2013-02-22",34151.42
"1_22_2013-03-01",11.97
"1_22_2013-03-08",11112.01
"1_22_2013-03-15",4492.42
"1_22_2013-03-22",33780.2
"1_22_2013-03-29",31327.75
"1_22_2013-04-05",6176.87
"1_22_2013-04-12",7062.96
"1_22_2013-04-19",43353.09
"1_22_2013-04-26",941.6
"1_22_2013-05-03",3689.44
"1_22_2013-05-10",113021.23
"1_22_2013-05-17",720.98
"1_22_2013-05-24",15
"1_22_2013-05-31",19298.42
"1_22_2013-06-07",11702.08
"1_22_2013-06-14",9248.23
"1_22_2013-06-21",225.3
"1_22_2013-06-28",61140.38
"1_22_2013-07-05",34644.25
"1_22_2013-07-12",14728.57
"1_22_2013-07-19",23995.69
"1_22_2013-07-26",6350.26
"1_23_2012-11-02",10189.61
"1_23_2012-11-09",2145.42
"1_23_2012-11-16",13738.46
"1_23_2012-11-23",140411.05
"1_23_2012-11-30",29454.09
"1_23_2012-12-07",10315.1
"1_23_2012-12-14",2427.46
"1_23_2012-12-21",2210
"1_23_2012-12-28",5048.42
"1_23_2013-01-04",37526.8
"1_23_2013-01-11",16655.06
"1_23_2013-01-18",5567.49
"1_23_2013-01-25",2278.6
"1_23_2013-02-01",8229.77
"1_23_2013-02-08",1347.74
"1_23_2013-02-15",4302.1
"1_23_2013-02-22",18365.1
"1_23_2013-03-01",634.48
"1_23_2013-03-08",31186
